-2.84199428e+07 7.65598483e+08 -2.59448798e+06 -5.02697582e+00 -6.79825466e-01 3.71409179e-01 1.07593800e+23
-1.13859577e+09 7.74018687e+08 3.18097444e+07 6.62861242e-01 -1.60465798e+00 -3.61693919e+00 1.09545200e+21
-2.63712382e+07 1.43982652e+08 -6.39310110e+03 -2.97576730e+01 -5.53750617e+00 -1.83561678e-03 5.97360000e+24
-1.13911128e+09 7.74290763e+08 3.17173050e+07 -7.80436271e+00 -1.90286171e+01 6.33042281e+00 1.08022000e+20
-2.79372130e+07 7.66856648e+08 -2.54913089e+06 -8.71797684e-01 6.05161968e+00 5.83731573e-01 4.80000000e+22
-2.92851261e+07 7.67601030e+08 -2.53614154e+06 -1.45718101e+01 -1.06728947e+01 -8.35075306e-02 1.48190000e+23
-1.02724018e+09 2.56644046e+09 -7.06975835e+08 3.80010070e+00 -5.05949796e+00 1.88189385e+00 2.60000000e+14
-1.14048111e+09 7.77434759e+08 3.12626274e+07 -8.81631176e+00 -9.23368759e+00 1.25249508e+00 1.80563500e+21
-2.78018041e+07 7.67487648e+08 -2.52167088e+06 -1.40655120e+01 1.73782262e+01 8.96440330e-01 8.93190000e+22
-2.82241384e+07 7.67465677e+08 -2.52876906e+06 -1.32099791e+01 1.22164111e-01 2.95335051e-01 1.89860000e+27
-9.15333128e+07 2.23431687e+08 6.94474030e+06 -2.14760568e+01 -7.14652546e+00 3.79099928e-01 6.41850000e+23
-4.41787980e+07 2.55532643e+07 6.22892894e+06 -3.46125872e+01 -3.99656737e+01 -8.40111989e-02 3.30220000e+23
-1.13904252e+09 7.74324948e+08 3.16983510e+07 -1.18157082e+01 -1.96530856e+01 6.95553424e+00 3.74900000e+19
-1.07119823e+09 -4.40144541e+09 1.15308805e+08 5.24720510e+00 -1.25506949e+00 -9.55263377e-02 1.02430000e+26
-4.20072785e+09 -1.12490433e+09 1.33542715e+09 2.14907356e+00 -5.59017841e+00 -2.83027248e-02 1.30500000e+22
-1.13884523e+09 7.73782993e+08 3.19541481e+07 2.49220035e+00 -7.87512592e+00 -4.93762191e-01 2.30651800e+21
-1.13887703e+09 7.74251419e+08 3.17152717e+07 -5.95123749e+00 -8.01160990e+00 3.76100784e-01 5.68460000e+26
4.96531940e+05 -6.44481386e+05 -1.34440214e+04 1.38602012e-02 2.49775627e-03 -3.76474596e-04 1.98910000e+30
-1.13904607e+09 7.74469655e+08 3.16120670e+07 -1.51975738e+01 -1.33600057e+01 4.21337773e+00 6.17449000e+20
-1.14005283e+09 7.74678810e+08 3.16090858e+07 -7.75091286e+00 -1.24804429e+01 2.86140535e+00 1.34500000e+23
-2.03056304e+09 -1.90411932e+09 1.92760070e+07 4.60757253e+00 -5.28587906e+00 -7.94375774e-02 8.68100000e+25
-2.21008046e+06 -1.09348854e+08 -1.33620770e+06 3.47880053e+01 -1.00130964e+00 -2.02187612e+00 4.86850000e+24
6.81403711e+07 2.78393096e+08 5.17017396e+06 -1.61381587e+01 2.20266124e+01 2.96283397e-01 7.22000000e+02
-2.67575223e+07 1.44033127e+08 -1.70485864e+04 -2.98339244e+01 -6.53608517e+00 8.32976224e-02 7.34900000e+22
